"","year","song_genre","mean"
"1",1960,"Rock",0.125
"2",1960,"R&B/Soul",0.692307692307692
"3",1960,"Easy Listening",0
"4",1960,NA,0.363636363636364
"5",1960,"Pop",0.166666666666667
"6",1960,"Country",0.2
"7",1960,"French Pop",0
"8",1960,"German Pop",0
"9",1960,"Vocal",0
"10",1960,"World",0
"11",1960,"Folk-Rock",1
"12",1960,"Lounge",0
"13",1960,"Soundtrack",2
"14",1960,"Blues",0
"15",1960,"Soft Rock",0
"16",1960,"Christian & Gospel",0
"17",1960,"Doo Wop",0
"18",1961,"R&B/Soul",0
"19",1961,"Alternative",0
"20",1961,"Rock",0
"21",1961,"Pop",0.05
"22",1961,NA,0
"23",1961,"Oldies",0
"24",1961,"Soundtrack",0
"25",1961,"Country",0
"26",1961,"Vocal",0
"27",1961,"Rock & Roll",0
"28",1961,"Blues",0
"29",1961,"Jazz",0
"30",1961,"Standards",0
"31",1961,"Soft Rock",0
"32",1961,"Música tropical",0
"33",1961,"French Pop",0
"34",1961,"German Pop",0
"35",1961,"World",0
"36",1962,"R&B/Soul",0.529411764705882
"37",1962,"Pop",0
"38",1962,"Rock",0
"39",1962,NA,0
"40",1962,"Vocal",0
"41",1962,"Disco",1
"42",1962,"Jazz",0.333333333333333
"43",1962,"Alternative",0
"44",1962,"German Folk",0
"45",1962,"Country",0
"46",1962,"German Pop",0
"47",1962,"Blues",0
"48",1962,"Lounge",0
"49",1962,"Doo Wop",0
"50",1962,"Singer/Songwriter",0
"51",1963,"Rock",0.0294117647058824
"52",1963,"Pop",0.1
"53",1963,"Soundtrack",0
"54",1963,"R&B/Soul",0.166666666666667
"55",1963,NA,1.14285714285714
"56",1963,"Country",0.333333333333333
"57",1963,"Vocal",0
"58",1963,"Baladas y Boleros",0
"59",1963,"Singer/Songwriter",0
"60",1963,"Easy Listening",0
"61",1963,"Vocal Pop",0
"62",1963,"New Age",0
"63",1963,"Hip-Hop/Rap",0
"64",1963,"Comedy",0
"65",1963,"Oldies",0
"66",1963,"Rock & Roll",0
"67",1963,"Soft Rock",0
"68",1964,"Rock",0.0487804878048781
"69",1964,"Pop",0.0769230769230769
"70",1964,"R&B/Soul",0
"71",1964,"Jazz",0
"72",1964,"Vocal",0
"73",1964,NA,0
"74",1964,"Country",0
"75",1964,"Soundtrack",0
"76",1964,"British Invasion",0
"77",1964,"Vocal Pop",0
"78",1965,"Rock",0
"79",1965,"Pop",0.1
"80",1965,NA,0.1
"81",1965,"R&B/Soul",0
"82",1965,"Country",0
"83",1965,"Hip-Hop/Rap",0
"84",1965,"Singer/Songwriter",0
"85",1965,"Easy Listening",0
"86",1965,"Jazz",0
"87",1965,"Soundtrack",0
"88",1965,"Alternative",0
"89",1965,"New Age",0
"90",1966,"Vocal Pop",0
"91",1966,NA,0.111111111111111
"92",1966,"Rock",0.5
"93",1966,"Singer/Songwriter",0
"94",1966,"Easy Listening",0
"95",1966,"Pop",0
"96",1966,"Soundtrack",0.5
"97",1966,"Dance",0
"98",1966,"R&B/Soul",0.111111111111111
"99",1966,"British Invasion",0
"100",1966,"Folk-Rock",0
"101",1966,"Blues",0
"102",1966,"Vocal",0
"103",1966,"Country",0
"104",1966,"Soft Rock",0
"105",1967,"Rock",0.0666666666666667
"106",1967,"Alternative",0
"107",1967,NA,0.181818181818182
"108",1967,"Pop",0
"109",1967,"R&B/Soul",0.933333333333333
"110",1967,"Easy Listening",0
"111",1967,"Soundtrack",0
"112",1967,"Psychedelic",0
"113",1967,"Soft Rock",0
"114",1967,"World",0
"115",1967,"French Pop",0
"116",1967,"Holiday",0
"117",1967,"Rock & Roll",0
"118",1968,"Rock",0.0967741935483871
"119",1968,"R&B/Soul",0
"120",1968,NA,0.166666666666667
"121",1968,"Pop",0
"122",1968,"Singer/Songwriter",0
"123",1968,"Jazz",0
"124",1968,"Adult Contemporary",1
"125",1968,"Soundtrack",0
"126",1968,"Easy Listening",0
"127",1968,"Dance",0
"128",1968,"Reggae",0
"129",1968,"Country",0
"130",1968,"Blues",0
"131",1968,"World",0
"132",1969,"Pop",0.0909090909090909
"133",1969,"Rock",0.114285714285714
"134",1969,"R&B/Soul",0
"135",1969,"Dance",0
"136",1969,"Christian & Gospel",0
"137",1969,"Soundtrack",0.25
"138",1969,"Reggae",0
