"","year","song_genre","mean"
"1",1960,"Rock",0.0781565287938897
"2",1960,"R&B/Soul",0.208630636159213
"3",1960,"Easy Listening",0
"4",1960,NA,0.180052011522485
"5",1960,"Pop",0.0743792996849908
"6",1960,"Country",0.190222226546072
"7",1960,"French Pop",0
"8",1960,"German Pop",0
"9",1960,"Vocal",0
"10",1960,"World",0
"11",1960,"Folk-Rock",0.437707135543525
"12",1960,"Lounge",0
"13",1960,"Soundtrack",0.853871964321762
"14",1960,"Blues",0
"15",1960,"Soft Rock",0
"16",1960,"Christian & Gospel",0
"17",1960,"Doo Wop",0
"18",1961,"R&B/Soul",0
"19",1961,"Alternative",0
"20",1961,"Rock",0
"21",1961,"Pop",0.0479303657420888
"22",1961,NA,0
"23",1961,"Oldies",0
"24",1961,"Soundtrack",0
"25",1961,"Country",0
"26",1961,"Vocal",0
"27",1961,"Rock & Roll",0
"28",1961,"Blues",0
"29",1961,"Jazz",0
"30",1961,"Standards",0
"31",1961,"Soft Rock",0
"32",1961,"Música tropical",0
"33",1961,"French Pop",0
"34",1961,"German Pop",0
"35",1961,"World",0
"36",1962,"R&B/Soul",0.148806951165332
"37",1962,"Pop",0
"38",1962,"Rock",0
"39",1962,NA,0
"40",1962,"Vocal",0
"41",1962,"Disco",0.714442690992227
"42",1962,"Jazz",0.489507027652582
"43",1962,"Alternative",0
"44",1962,"German Folk",0
"45",1962,"Country",0
"46",1962,"German Pop",0
"47",1962,"Blues",0
"48",1962,"Lounge",0
"49",1962,"Doo Wop",0
"50",1962,"Singer/Songwriter",0
"51",1963,"Rock",0.0513155145557851
"52",1963,"Pop",0.1069292540682
"53",1963,"Soundtrack",0
"54",1963,"R&B/Soul",0.0564817254388401
"55",1963,NA,0.28412558689982
"56",1963,"Country",0.340758798237051
"57",1963,"Vocal",0
"58",1963,"Baladas y Boleros",0
"59",1963,"Singer/Songwriter",0
"60",1963,"Easy Listening",0
"61",1963,"Vocal Pop",0
"62",1963,"New Age",0
"63",1963,"Hip-Hop/Rap",0
"64",1963,"Comedy",0
"65",1963,"Oldies",0
"66",1963,"Rock & Roll",0
"67",1963,"Soft Rock",0
"68",1964,"Rock",0.0463610474297581
"69",1964,"Pop",0.0474113724056434
"70",1964,"R&B/Soul",0
"71",1964,"Jazz",0
"72",1964,"Vocal",0
"73",1964,NA,0
"74",1964,"Country",0
"75",1964,"Soundtrack",0
"76",1964,"British Invasion",0
"77",1964,"Vocal Pop",0
"78",1965,"Rock",0
"79",1965,"Pop",0.10512667501937
"80",1965,NA,0.108618614761628
"81",1965,"R&B/Soul",0
"82",1965,"Country",0
"83",1965,"Hip-Hop/Rap",0
"84",1965,"Singer/Songwriter",0
"85",1965,"Easy Listening",0
"86",1965,"Jazz",0
"87",1965,"Soundtrack",0
"88",1965,"Alternative",0
"89",1965,"New Age",0
"90",1966,"Vocal Pop",0
"91",1966,NA,0.0750797271891453
"92",1966,"Rock",0.0893806137848677
"93",1966,"Singer/Songwriter",0
"94",1966,"Easy Listening",0
"95",1966,"Pop",0
"96",1966,"Soundtrack",0.167638257276787
"97",1966,"Dance",0
"98",1966,"R&B/Soul",0.099577364338227
"99",1966,"British Invasion",0
"100",1966,"Folk-Rock",0
"101",1966,"Blues",0
"102",1966,"Vocal",0
"103",1966,"Country",0
"104",1966,"Soft Rock",0
"105",1967,"Rock",0.049079444228875
"106",1967,"Alternative",0
"107",1967,NA,0.1749370074362
"108",1967,"Pop",0
"109",1967,"R&B/Soul",0.240903160615422
"110",1967,"Easy Listening",0
"111",1967,"Soundtrack",0
"112",1967,"Psychedelic",0
"113",1967,"Soft Rock",0
"114",1967,"World",0
"115",1967,"French Pop",0
"116",1967,"Holiday",0
"117",1967,"Rock & Roll",0
"118",1968,"Rock",0.0733538135043574
"119",1968,"R&B/Soul",0
"120",1968,NA,0.163420776419055
"121",1968,"Pop",0
"122",1968,"Singer/Songwriter",0
"123",1968,"Jazz",0
"124",1968,"Adult Contemporary",0.853871964321762
"125",1968,"Soundtrack",0
"126",1968,"Easy Listening",0
"127",1968,"Dance",0
"128",1968,"Reggae",0
"129",1968,"Country",0
"130",1968,"Blues",0
"131",1968,"World",0
"132",1969,"Pop",0.0304357375750368
"133",1969,"Rock",0.102149586131266
"134",1969,"R&B/Soul",0
"135",1969,"Dance",0
"136",1969,"Christian & Gospel",0
"137",1969,"Soundtrack",0.177491347159371
"138",1969,"Reggae",0
"139",1969,"Singer/Songwriter",0
"140",1969,"Country",0.195300500472066
"141",1969,NA,0.0564431241869965
"142",1969,"Teen Pop",0
"143",1969,"Vocal Pop",0
"144",1970,"Rock",0.0175606883397517
"145",1970,"Pop",0
"146",1970,NA,0.045948886061904
"147",1970,"R&B/Soul",0
"148",1970,"Singer/Songwriter",0
"149",1970,"Metal",0
"150",1970,"Country",0
"151",1970,"Soundtrack",0
"152",1970,"Soft Rock",0
"153",1970,"Funk",1.47712125471966
"154",1970,"Soul",0
"155",1971,"Rock",0.0327552093219372
"156",1971,"Pop",0
"157",1971,NA,0.0422685739062965
"158",1971,"Vocal",0
"159",1971,"R&B/Soul",0.170323664504994
"160",1971,"Singer/Songwriter",0
"161",1971,"Soundtrack",0
"162",1971,"Hip-Hop/Rap",0
"163",1971,"Soft Rock",0
"164",1971,"Country",0
"165",1971,"World",0
"166",1971,"French Pop",0
"167",1971,"Pop Latino",0
"168",1971,"Christian & Gospel",0
"169",1972,"Soundtrack",0.315154638355588
"170",1972,"Fitness & Workout",0
"171",1972,"Pop",0.0359040542430716
"172",1972,"Rock",0.0180704037176967
"173",1972,"R&B/Soul",0.0819616575966487
"174",1972,"Reggae",0
"175",1972,NA,0.0519057174771774
"176",1972,"World",0
"177",1972,"Singer/Songwriter",0
"178",1972,"Holiday",0
"179",1972,"German Pop",0
"180",1972,"Country",0
"181",1972,"Blues",0
"182",1972,"Soft Rock",0
"183",1972,"Hip-Hop/Rap",0
"184",1973,"Rock",0.0844996896384507
"185",1973,"Pop",0.157141175052096
"186",1973,"R&B/Soul",0.0604385543225177
"187",1973,"Vocal",0
"188",1973,NA,0.148483254830027
"189",1973,"Soul",0
"190",1973,"Singer/Songwriter",0
"191",1973,"Country",0
"192",1973,"Soundtrack",0
"193",1973,"Vocal Pop",0
"194",1974,"Pop",0
"195",1974,"R&B/Soul",0
"196",1974,NA,0.128413030599909
"197",1974,"Rock",0.100951130031255
"198",1974,"Soundtrack",0
"199",1974,"Hip-Hop/Rap",0
"200",1974,"Country",0
"201",1974,"Singer/Songwriter",0
"202",1974,"Holiday",0
"203",1974,"New Age",0
"204",1975,"Rock",0.0924851256737986
"205",1975,NA,0.0488081343885319
"206",1975,"Pop",0.115051499783199
"207",1975,"Country",0
"208",1975,"R&B/Soul",0.0893444830656407
"209",1975,"Soundtrack",0
"210",1975,"Easy Listening",0.952764435679178
"211",1975,"Reggae",0
"212",1975,"Dance",0
"213",1975,"Vocal",0
"214",1975,"Electronic",0
"215",1975,"Singer/Songwriter",0
"216",1975,"Alternative",0
"217",1975,"Jazz",0
"218",1976,"Dance",0
"219",1976,"R&B/Soul",0.0809039584146439
"220",1976,"Rock",0.0600066541236187
"221",1976,NA,0.195126699795714
"222",1976,"Country",0
"223",1976,"Disco",0
"224",1976,"Soul",1.96357073437333
"225",1976,"Hip-Hop/Rap",0
"226",1976,"Pop",0.0407126817553881
"227",1976,"Soundtrack",0
"228",1976,"New Age",0
"229",1976,"Easy Listening",0
"230",1976,"Alternative",0
"231",1976,"Christian & Gospel",0
"232",1976,"Blues",0
"233",1976,"Pop/Rock",0
"234",1976,"Singer/Songwriter",0
"235",1977,"Rock",0.0752821082480662
"236",1977,"R&B/Soul",0.148812312027972
"237",1977,"Dance",0
"238",1977,"Pop",0
"239",1977,"Soundtrack",0.107648593475433
"240",1977,NA,0.0723527288494614
"241",1977,"Country",0
"242",1977,"Hip-Hop/Rap",0
"243",1977,"Latino",0
"244",1977,"Jazz",0
"245",1977,"Soft Rock",0
"246",1977,"Pop Latino",0
"247",1977,"Alternative",0
"248",1977,"French Pop",0
"249",1977,"Easy Listening",0
"250",1978,"Pop",0.109084351982486
"251",1978,NA,0
"252",1978,"Rock",0.0984113831358262
"253",1978,"Country",0.520479303839453
"254",1978,"R&B/Soul",0
"255",1978,"Dance",0
"256",1978,"Disco",0
"257",1978,"Vocal",0
"258",1978,"French Pop",0.22858728652041
"259",1978,"Easy Listening",0.33889035263304
"260",1978,"Classical",0
"261",1979,"Rock",0.0279543999255009
"262",1979,"R&B/Soul",0.106174770079847
"263",1979,"Pop",0.042352870938131
"264",1979,"Dance",0.187099147120762
"265",1979,NA,0.138924134459522
"266",1979,"Electronic",0
"267",1979,"Soul",0
"268",1979,"Vocal",0
"269",1979,"Country",0.467095358613977
"270",1979,"Alternative",0
"271",1979,"Punk",0
"272",1979,"Soundtrack",0
"273",1980,NA,0.283889091832356
"274",1980,"Rock",0.0425774285336539
"275",1980,"Pop",0
"276",1980,"Soundtrack",0
"277",1980,"Hip-Hop/Rap",0.187755303199631
"278",1980,"Country",0
"279",1980,"R&B/Soul",0.0296232910743743
"280",1980,"New Wave",0
"281",1980,"Jazz",0
"282",1980,"Vocal",0
"283",1980,"Vocal Pop",0
"284",1980,"Alternative",0
"285",1980,"Dance",0
"286",1980,"Disco",0
"287",1980,"Reggae",0.490797477668897
"288",1980,"Blues",0
"289",1981,"Rock",0.0847506551591052
"290",1981,NA,0
"291",1981,"R&B/Soul",0.122731164531786
"292",1981,"Pop",0.0369781215442988
"293",1981,"Country",0
"294",1981,"Pop/Rock",0
"295",1981,"Electronic",0
"296",1981,"Hip-Hop/Rap",0
"297",1981,"Adult Contemporary",0
"298",1981,"Easy Listening",0
"299",1981,"Vocal",0
"300",1981,"Alternative",0
"301",1982,"Rock",0.0436702557550647
"302",1982,"Pop",0.0870354908615936
"303",1982,NA,0.0702161291823983
"304",1982,"Modern Dancehall",0
"305",1982,"R&B/Soul",0.0855037068178853
"306",1982,"Alternative",0
"307",1982,"Funk",0
"308",1982,"Electronic",0
"309",1982,"Punk",0
"310",1982,"Original Score",0
"311",1982,"Country",0
"312",1982,"Soundtrack",0
"313",1982,"Rockabilly",0
"314",1982,"Dance",0.61539504521849
"315",1982,"World",0
"316",1982,"Jazz",0
"317",1982,"Hip-Hop/Rap",0.534617148551582
"318",1982,"Disco",0
"319",1983,"Pop",0
"320",1983,"Rock",0.154121172514408
"321",1983,"Dance",0
"322",1983,"R&B/Soul",0.120494714978587
"323",1983,"Reggae",0
"324",1983,NA,0.165809885540393
"325",1983,"Fitness & Workout",0
"326",1983,"Soundtrack",0
"327",1983,"New Age",0
"328",1983,"Country",0
"329",1983,"Alternative",0
"330",1983,"Jazz",0
"331",1983,"World",0
"332",1983,"Pop Latino",0
"333",1984,"R&B/Soul",0
"334",1984,"Pop",0.116485681744688
"335",1984,"Soundtrack",0
"336",1984,NA,0.536869637536641
"337",1984,"Dance",0
"338",1984,"Rock",0.042737680900053
"339",1984,"Alternative",0.17788205794015
"340",1984,"Holiday",0
"341",1984,"Pop Latino",0
"342",1984,"Rock & Roll",0
"343",1984,"Electronic",0
"344",1984,"Arena Rock",0
"345",1984,"Country",0
"346",1984,"Disco",0
"347",1984,"Original Score",0
"348",1985,NA,0.0870623861279086
"349",1985,"Rock",0.0517069775561068
"350",1985,"R&B/Soul",0.0722636294259368
"351",1985,"Pop",0.0824880351802557
"352",1985,"Vocal",0
"353",1985,"Jazz",0
"354",1985,"Alternative",0
"355",1985,"Soundtrack",0
"356",1985,"Hip-Hop/Rap",0
"357",1985,"Electronic",0
"358",1985,"Reggae",0
"359",1985,"Dance",0
"360",1985,"Hard Rock",0
"361",1986,"Pop",0.0280165268677082
"362",1986,"Soul",0
"363",1986,NA,0.0301133820325236
"364",1986,"Rock",0.0464525212521429
"365",1986,"R&B/Soul",0.164614706550635
"366",1986,"Soundtrack",0
"367",1986,"Alternative",0
"368",1986,"Dance",0.397940008672038
"369",1986,"Hard Rock",0
"370",1986,"Adult Contemporary",0
"371",1986,"Reggae",0
"372",1986,"Electronic",0
"373",1987,"R&B/Soul",0.18406133513253
"374",1987,"Pop",0.0988917309623571
"375",1987,"Soundtrack",0
"376",1987,"Rock",0
"377",1987,NA,0
"378",1987,"Hard Rock",0
"379",1987,"Dance",0
"380",1987,"Alternative",0
"381",1987,"French Pop",0
"382",1987,"Singer/Songwriter",0
"383",1987,"Jazz",0
"384",1987,"Hip-Hop/Rap",0.375717904164332
"385",1988,"Pop",0
"386",1988,"Jazz",0
"387",1988,"Rock",0
"388",1988,NA,0.0970761876084582
"389",1988,"Country",0
"390",1988,"Singer/Songwriter",0
"391",1988,"Alternative",0
"392",1988,"Hip-Hop/Rap",0.448098139522022
"393",1988,"R&B/Soul",0.276913821484518
"394",1988,"Dance",0
"395",1988,"Britpop",0
"396",1988,"Soundtrack",0
"397",1988,"Adult Contemporary",0
"398",1988,"New Wave",0
"399",1988,"Reggae",0
"400",1988,"Latino",0
"401",1989,"Pop",0
"402",1989,"Rock",0.126551391524325
"403",1989,"Adult Contemporary",0
"404",1989,NA,0.0684254678003409
"405",1989,"Soundtrack",0.087423119217016
"406",1989,"Latino",0
"407",1989,"Dance",0
"408",1989,"Vocal",0
"409",1989,"Hip-Hop/Rap",0.464160213875845
"410",1989,"R&B/Soul",0
"411",1989,"Singer/Songwriter",0
"412",1989,"Alternative",0
"413",1990,"Rock",0.0633138634450517
"414",1990,"Pop",0.0168471273964219
"415",1990,"Hip-Hop/Rap",0.342817622604828
"416",1990,"Dance",0.0921931427338937
"417",1990,"Alternative",0
"418",1990,"R&B/Soul",0.0853639574079426
"419",1990,"Hard Rock",0
"420",1990,NA,0.0760438875553245
"421",1990,"Reggae",0
"422",1990,"Vocal",0
"423",1990,"Soundtrack",0
"424",1990,"Blues",0
"425",1991,"Pop",0.0465863969420263
"426",1991,NA,0.185404893961458
"427",1991,"Electronic",0.282715547982901
"428",1991,"Rock",0.199844668049206
"429",1991,"R&B/Soul",0.126756078701423
"430",1991,"Alternative",0
"431",1991,"Christian & Gospel",0
"432",1991,"Dance",0
"433",1991,"Metal",0
"434",1991,"Hip-Hop/Rap",0.106626475929178
"435",1991,"Jazz",0
"436",1991,"Punk",0
"437",1992,"Pop",0.127794067200955
"438",1992,"R&B/Soul",0.247905749104356
"439",1992,"Alternative",0.120666280362134
"440",1992,"Rock",0.195059349133895
"441",1992,NA,0.0753990260172238
"442",1992,"Dance",0.288820363876594
"443",1992,"Country",0.809668301829709
"444",1992,"Adult Contemporary",0.935542010773082
"445",1992,"Hip-Hop/Rap",0.355936381098108
"446",1992,"Metal",0
"447",1992,"Soundtrack",0
"448",1993,"Rock",0.188103282828933
"449",1993,"Hip-Hop/Rap",0.442408856723857
"450",1993,"Pop",0.114138388780196
"451",1993,NA,0.242341870126177
"452",1993,"Dance",0.201649858368027
"453",1993,"R&B/Soul",0.151333342737411
"454",1993,"Reggae",0
"455",1993,"Soundtrack",0
"456",1993,"Vocal",0.519993057042849
"457",1993,"Alternative",0
"458",1993,"Adult Alternative",0
"459",1993,"Hip-Hop",0
"460",1994,"Pop",0.10139737778878
"461",1994,"Rock",0.21480278233886
"462",1994,"R&B/Soul",0.11454186203686
"463",1994,"Fitness & Workout",0
"464",1994,"Singer/Songwriter",0.320082258830056
"465",1994,"Dance",0.0814775592351014
"466",1994,NA,0
"467",1994,"Electronic",0
"468",1994,"Soundtrack",0
"469",1994,"World",0
"470",1994,"Alternative",0.312333352669304
"471",1994,"Hip-Hop/Rap",0.948523342078284
"472",1994,"Adult Contemporary",0
"473",1994,"Reggae",0
"474",1994,"Country",0
"475",1994,"Latino",0
"476",1994,"Pop/Rock",0.798602875679549
"477",1995,"Hip-Hop/Rap",0.116240662000619
"478",1995,"Pop",0.135033290102296
"479",1995,"R&B/Soul",0.130750349848444
"480",1995,"Soundtrack",0
"481",1995,"Electronic",0
"482",1995,"Dance",0.218661177747846
"483",1995,"Rock",0.0569175855396096
"484",1995,NA,0
"485",1995,"Holiday",0
"486",1995,"Alternative",0.133501916632522
"487",1995,"Christian & Gospel",0
"488",1996,NA,0.119461066343936
"489",1996,"Pop",0.118492251387653
"490",1996,"R&B/Soul",0.0623757072391679
"491",1996,"Alternative",0
"492",1996,"Rock",0
"493",1996,"Hip-Hop/Rap",0.563128180933385
"494",1996,"Rap",0
"495",1996,"Country",0
"496",1996,"Metal",0
"497",1996,"Soundtrack",0.211165990633735
"498",1996,"Dance",0
"499",1996,"Singer/Songwriter",0
"500",1996,"Electronic",0.679843074155234
"501",1996,"Reggae",0
"502",1996,"World",0.653647025549362
"503",1997,NA,0.220795671005848
"504",1997,"Pop",0.141594343452866
"505",1997,"Alternative",0.121686255577673
"506",1997,"Hip-Hop/Rap",0.656262948645936
"507",1997,"Rock",0.39748134147945
"508",1997,"Country",0
"509",1997,"R&B/Soul",0.112715953858024
"510",1997,"Soundtrack",0
"511",1997,"Electronic",0.818643985216575
"512",1997,"Dance",0
"513",1997,"Britpop",0
"514",1997,"Vocal",0
"515",1997,"Singer/Songwriter",0
"516",1997,"Pop/Rock",0.540460953811963
"517",1997,"Hard Rock",0
"518",1997,"Metal",0.777283528852417
"519",1997,"World",0
"520",1998,NA,0.0911859222923169
"521",1998,"Pop",0.106394039376705
"522",1998,"Soundtrack",0
"523",1998,"Rock",0.352078312413802
"524",1998,"R&B/Soul",0.358188817510322
"525",1998,"Country",0
"526",1998,"Alternative",0.179998969685279
"527",1998,"Hip-Hop/Rap",0.690815445400652
"528",1998,"Teen Pop",0
"529",1998,"Britpop",0.521056573677969
"530",1998,"Dance",0
"531",1998,"Metal",0
"532",1999,"Pop",0.0925153294097084
"533",1999,"Pop Latino",0
"534",1999,NA,0.121504715509753
"535",1999,"R&B/Soul",0.064239767753505
"536",1999,"Dance",0
"537",1999,"Rock",0.256272985267075
"538",1999,"Hip-Hop/Rap",0.587083072830626
"539",1999,"Country",0
"540",1999,"Alternative",0.390570241563418
"541",1999,"Soundtrack",0.20302163096554
"542",1999,"Reggae",0
"543",1999,"Breakbeat",0
"544",1999,"Electronic",0
"545",2000,"Pop",0.0708795491917207
"546",2000,"Rock",0.241669922497333
"547",2000,"Hip-Hop/Rap",0.847953210672746
"548",2000,NA,0.130838291324118
"549",2000,"Soundtrack",0
"550",2000,"Alternative",0.746459922996845
"551",2000,"R&B/Soul",0.192164048376824
"552",2000,"Electronic",0
"553",2000,"Dance",0
"554",2000,"Country",0
"555",2000,"Techno",1.95714750008273
"556",2000,"Teen Pop",0
"557",2000,"Pop Latino",0
"558",2001,"Pop",0.0584768930681875
"559",2001,NA,0.209725003129181
"560",2001,"R&B/Soul",0.311632877490154
"561",2001,"Soundtrack",0
"562",2001,"Reggae",0.253619805486581
"563",2001,"Country",0.257879262861516
"564",2001,"Rock",0.341347183158261
"565",2001,"Hip-Hop/Rap",1.01005079269735
"566",2001,"Dance",0
"567",2001,"Alternative",0.348100443822898
"568",2001,"Electronic",0.401209493236885
"569",2001,"Rock y Alternativo",0
"570",2001,"House",0
"571",2002,"Soundtrack",0.198959826274727
"572",2002,"Hip-Hop/Rap",0.918963198564901
"573",2002,"Pop",0.122940592569438
"574",2002,"Rock",0
"575",2002,NA,0.394314857982746
"576",2002,"Singer/Songwriter",0
"577",2002,"Alternative",0.335012097103949
"578",2002,"R&B/Soul",0.429766864097746
"579",2002,"Country",0
"580",2002,"Dance",0
"581",2002,"Vocal",0
"582",2002,"Pop/Rock",0
"583",2003,NA,0.387316053614661
"584",2003,"Hip-Hop/Rap",1.11978193996292
"585",2003,"Pop",0.151566729791179
"586",2003,"Rock",0.105488915222514
"587",2003,"Alternative",0.105704087430704
"588",2003,"Soundtrack",0.485646610432413
"589",2003,"Christian & Gospel",0
"590",2003,"Country",0
"591",2003,"R&B/Soul",0.1803866819584
"592",2003,"Pop/Rock",0
"593",2003,"Singer/Songwriter",0
"594",2003,"Reggae",0
"595",2004,"R&B/Soul",0.305839764259705
"596",2004,"Pop",0.191772820358341
"597",2004,"Hip-Hop/Rap",0.792651537056405
"598",2004,"Dance",0
"599",2004,"Rock",0.380651547280024
"600",2004,"Vocal",0
"601",2004,"Alternative",0.158463662888303
"602",2004,"Reggae",1.22475374025976
"603",2004,NA,0.407722382243758
"604",2004,"World",0.661543506395395
"605",2004,"Soundtrack",0.539935618089603
"606",2004,"Singer/Songwriter",0
"607",2004,"Electronic",0
"608",2005,"Pop",0.193787750051874
"609",2005,"R&B/Soul",0.185450953561271
"610",2005,"Rock",0
"611",2005,"Soundtrack",0.41195437047216
"612",2005,"Hip-Hop/Rap",0.631223414359147
"613",2005,"Alternative",0.253372567821071
"614",2005,NA,0.220957905344906
"615",2005,"Pop Latino",0
"616",2005,"Electronic",0.63923208388262
"617",2005,"Urbano latino",0
"618",2006,NA,0.320594361107833
"619",2006,"Pop",0.211133320684602
"620",2006,"Alternative",0.116642074430839
"621",2006,"Hip-Hop/Rap",0.613156030532965
"622",2006,"R&B/Soul",0.247274509650872
"623",2006,"Rock",0
"624",2006,"Dance",0
"625",2006,"Metal",0
"626",2006,"Soul",0
"627",2006,"Easy Listening",0
"628",2006,"Singer/Songwriter",0
"629",2006,"Soundtrack",1.66254073870934
"630",2007,NA,0.108044597092569
"631",2007,"Rock",0.186988486943152
"632",2007,"Hip-Hop/Rap",0.372459775172169
"633",2007,"Pop",0.324771156732279
"634",2007,"R&B/Soul",0.0846569313279882
"635",2007,"Singer/Songwriter",0
"636",2007,"Alternative",0.16832750158095
"637",2007,"Hardcore Rap",1.21062076985353
"638",2007,"Indie Rock",0
"639",2007,"Electronic",0
"640",2008,"Pop",0.133765610253629
"641",2008,NA,0.218767332762653
"642",2008,"Rock",0
"643",2008,"R&B/Soul",0.248271467239363
"644",2008,"Hip-Hop/Rap",0.358612168912782
"645",2008,"Singer/Songwriter",0
"646",2008,"Alternative",0.255022307421757
"647",2008,"Country",0
"648",2008,"Dance",0
"649",2008,"Soundtrack",0.381897986066307
"650",2008,"Metal",0
"651",2008,"Hard Rock",1.09420411963213
"652",2009,NA,0.201528157048439
"653",2009,"Pop",0.192078770537721
"654",2009,"Hip-Hop/Rap",0.563184182466693
"655",2009,"Electronic",0
"656",2009,"Dance",0
"657",2009,"Alternative",0.117392519729917
"658",2009,"Country",0.757850080326607
"659",2009,"Rock",0.608389812477295
"660",2009,"Soundtrack",0
"661",2009,"R&B/Soul",0.568003409658514
"662",2009,"Singer/Songwriter",1.08618614761628
"663",2009,"Teen Pop",0
"664",2010,NA,0.454493304716799
"665",2010,"Pop",0.153130379760944
"666",2010,"R&B/Soul",0.339356668112102
"667",2010,"Dance",0.100054091377585
"668",2010,"Hip-Hop/Rap",0.775932710818622
"669",2010,"Pop Latino",0
"670",2010,"Country",0.284169284969886
"671",2010,"Rock",0
"672",2010,"Alternative",0.401387079793446
"673",2010,"Soundtrack",0
"674",2010,"Electronic",0
"675",2011,NA,0.361581623236417
"676",2011,"Pop",0.371540277886208
"677",2011,"Dance",0.214116214857141
"678",2011,"R&B/Soul",0.172061534736061
"679",2011,"Alternative",0.264838104564532
"680",2011,"Fitness & Workout",0
"681",2011,"Soundtrack",0
"682",2011,"Hip-Hop/Rap",0.98926492971269
"683",2011,"Country",0.225239181567436
"684",2011,"House",0.628932137728264
"685",2011,"Pop Latino",1.16840443038939
"686",2011,"Singer/Songwriter",0
"687",2011,"Rock",0
"688",2012,NA,0.329715378699107
"689",2012,"Pop",0.181082449816052
"690",2012,"Country",0.22592690175536
"691",2012,"Dance",0
"692",2012,"Fitness & Workout",1.79588001734408
"693",2012,"Hip-Hop/Rap",1.18536984155673
"694",2012,"Alternative",0
"695",2012,"Reggae",0
"696",2012,"R&B/Soul",0.267478953220414
"697",2012,"Rock",0
"698",2012,"Soundtrack",0
"699",2013,NA,0.103259084492943
"700",2013,"Hip-Hop",1.58306595126365
"701",2013,"Dance",0
"702",2013,"Alternative",0.118379822654049
"703",2013,"Pop",0.248116698566987
"704",2013,"Singer/Songwriter",0
"705",2013,"Hip-Hop/Rap",0.336100001437688
"706",2013,"Country",0
"707",2013,"Soundtrack",0
"708",2013,"J-Pop",0
"709",2014,"Pop",0.166009639604549
"710",2014,NA,0.0967363098531448
"711",2014,"Soundtrack",0
"712",2014,"R&B/Soul",0.700331433503756
"713",2014,"Dance",0.166666666666667
"714",2014,"Alternative",0.234580736142792
"715",2014,"Electronic",0
