Position,Artist,Song Title,Year,Lyrics
1,Don McLean,American Pie,1972,"A long, long time ago, I can still remember
How that music used to make me smile
And I knew if I had my chance
That I could make those people dance
And maybe they'd be happy for a while

But February made me shiver, with every paper I'd deliver
Bad news on the doorstep, I couldn't take one more step
I can't remember if I cried, when I read about his widowed bride
But something touched me deep inside the day the music died

So bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
And them good old boys were drinking whiskey and rye
Singing this'll be the day that I die
This'll be the day that I die

Did you write the book of love
And do you have faith in God above
If the Bible tells you so?
Now do you believe in rock and roll?
Can music save your mortal soul?
And can you teach me how to dance real slow?

Well, I know that you're in love with him
'Cause I saw you dancing in the gym
You both kicked off your shoes
Man, I dig those rhythm and blues

I was a lonely teenage broncin' buck
With a pink carnation and a pickup truck
But I knew I was out of luck
The day the music died

I started singing bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good old boys were drinking whiskey and rye
And singing this'll be the day that I die
This'll be the day that I die

Now, for ten years we've been on our own
And moss grows fat on a rolling stone
But that's not how it used to be
When the jester sang for the king and queen
In a coat he borrowed from James Dean
And a voice that came from you and me

Oh, and while the king was looking down
The jester stole his thorny crown
The courtroom was adjourned
No verdict was returned

And while Lenin read a book on Marx
The quartet practiced in the park
And we sang 'Dirges In The Dark'
The day the music died

We were singing bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good old boys were drinking whiskey and rye
And singing this'll be the day that I die
This'll be the day that I die

Helter skelter in a summer swelter
The birds flew off with a fallout shelter
Eight miles high and falling fast
Landed foul on the grass
The players tried for a forward pass
With the jester on the sidelines in a cast

Now the half time air was sweet perfume
While sergeants played a marching tune
We all got up to dance
Oh, but we never got the chance

'Cause the players tried to take the field
The marching band refused to yield
Do you recall what was revealed
The day the music died?

We started singing bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good old boys were drinking whiskey and rye
And singing this'll be the day that I die
This'll be the day that I die

Oh, and there we were all in one place
A generation lost in space
With no time left to start again
So come on Jack be nimble, Jack be quick
Jack Flash sat on a candlestick
'Cause fire is the devil's only friend

Oh, and as I watched him on the stage
My hands were clenched in fists of rage
No angel born in hell
Could break that Satan's spell

And as the flames climbed high into the night
To light the sacrificial rite
I saw Satan laughing with delight
The day the music died

He was singing bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good old boys were drinking whiskey and rye
And singing this'll be the day that I die
This'll be the day that I die

I met a girl who sang the blues
And I asked her for some happy news
But she just smiled and turned away
I went down to the sacred store
Where I'd heard the music years before
But the man there said the music wouldn't play

And in the streets the children screamed
The lovers cried and the poets dreamed
But not a word was spoken
The church bells all were broken

And the three men I admire most
The Father, Son and the Holy Ghost
They caught the last train for the coast
The day the music died

And they were singing bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good old boys were drinking whiskey and rye
Singing this'll be the day that I die
This'll be the day that I die

They were singing, bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good old boys were drinking whiskey and rye
Singing this'll be the day that I die"
2,Harry Nilsson,Without You,1972,"No, I can't forget this evening
Or your face as you were leaving
But I guess that's just the way the story goes
You always smile but in your eyes your sorrow shows
Yes, it shows

No, I can't forget tomorrow
When I think of all my sorrow
When I had you there but then I let you go
And now it's only fair that I should let you know
What you should know

I can't live if living is without you
I can't live, I can't give any more
I can't live if living is without you
I can't give, I can't give any more

No, I can't forget this evening
Or your face as you were leaving
But I guess that's just the way the story goes
You always smile but in your eyes your sorrow shows
Yes, it shows

I can't live if living is without you
I can't live, I can't give anymore
I can't live if living is without you
I can't live, I can't give anymore"
3,Hot Butter,Popcorn,1972,Instrumental
4,Neil Young,Heart of Gold,1972,"I want to live
I want to give
I've been a miner
for a heart of gold
It's these expressions
I never give
That keep me searching
for a heart of gold
And I'm getting old
Keeps me searching
for a heart of gold
And I'm getting old

I've been to Hollywood
I've been to Redwood
I've crossed the ocean
for a heart of gold
I've been in my mind
it's such a fine line
That keeps me searching
for a heart of gold
And I'm getting old
Keeps me searching
for a heart of gold

And I'm getting old

Keep me searching
for a heart of gold
You keep me searching
And I'm growing old
Keep me searching
for a heart of gold
I've been a miner
for a heart of gold"
5,Roberta Flack,The First Time Ever I Saw Your Face,1972,"The first time ever I saw your face
I thought the sun rose in your eyes
And the moon and the stars were the gifts you gave
To the dark and the endless skies, my love
To the dark and the endless skies

And the first time ever I kissed your mouth
I felt the earth move in my hands
Like the trembling heart of a captive bird
That was there at my command, my love
That was there at my command, my love

And the first time ever I lay with you
I felt your heart so close to mine
And I knew our joy would fill the earth
And last till the end of time, my love
And it will last till the end of time, my love

The first time ever I saw your face, your face
Your face, your face"
6,Al Green,Let's Stay Together,1972,"I, I'm so in love with you
Whatever you want to do is all right with me
'Cause you make me feel so brand new
And I want to spend my life with you

Let me say that since, alright, since we've been together
Loving you forever is what I need
Oh let me be the one you come running to
I'll never be untrue

Oh let's, let's stay together
Lovin' you whether, whether
Times are good or bad, happy or sad, alright, oh yeah
Whether times are good or bad, happy or sad

Oh tell me why, why, why, why, why, why
Why people break up, turn around and make up
I can't see, you never, never, never do that to me
You better not do, staying around you is all I
All these eyes will ever see

Why won't you say that me, everybody says
That let's, let's stay together
Lovin' you whether, whether
Times are good or bad, happy or sad

Everybody says, ""Let's, let's stay together
I'll keep on lovin' you whether, whether
Times are, oh times are good or times are bad
Whether, whether good or bad, happy or sad
Oh yeah, oh yeah, oh yeah"
7,Daniel Boone,Beautiful Sunday,1972,"Sunday morning, up with the lark
I think I'll take a walk in the park
Hey, hey, hey, it's a beautiful day

I've got someone, waiting for me
When I see her, I know that she'll say
Hey, hey, hey, it's a beautiful day

Hi, hi, hi, beautiful Sunday
This is my, my, my, beautiful day
When you say, say, say, say that you love me
Oh, my, my, my it's a beautiful day

Birds are singing, you by my side
Let's take a car and go for a ride
Hey, hey, hey, it's a beautiful day

We'll drive on and follow the sun
Makin' Sunday go on and on
Hey, hey, hey, it's a beautiful day

Hi, hi, hi, beautiful Sunday
This is my, my, my, beautiful day
When you say, say, say, say that you love me
Oh, my, my, my, it's a beautiful day

Hi, hi, hi, beautiful Sunday
This is my, my, my, beautiful day
When you say, say, say, say that you love me
Oh, my, my, my it's a beautiful day"
8,Gilbert O'Sullivan,Alone Again (Naturally),1972,"In a little while from now
If I'm not feeling any less sour
I promise myself to treat myself
And visit a nearby tower

And climbing to the top, will throw myself off
In an effort to make it clear
To who ever what it's like when you're shattered
Left standing in the lurch at a church

Where people saying, ""My God, that's tough
She's stood him up no point in us remaining
We may as well go home""
As I did on my own alone again, naturally

To think that only yesterday
I was cheerful, bright and gay
Looking forward to well who wouldn't do
The role I was about to play

But as if to knock me down reality came around
And without so much, as a mere touch
Cut me into little pieces leaving me to doubt

Talk about God in His mercy
Who if He really does exist
Why did he desert me in my hour of need
I truly am indeed, alone again, naturally

It seems to me that there are more hearts
Broken in the world that can't be mended
Left unattended
What do we do? What do we do?

Alone again, naturally
Now looking back over the years
And whatever else that appears
I remember I cried when my father died

Never wishing to hide the tears
And at sixty-five years old
My mother, God rest her soul
Couldn't understand why the only man
She had ever loved had been taken

Leaving her to start with a heart so badly broken
Despite encouragement from me
No words were ever spoken and when she passed away
I cried and cried all day, alone again, naturally
Alone again, naturally"
9,Gilbert O'Sullivan,Clair,1972,"Clair, the moment I met you
I swear I felt as if something
Somewhere had happened to me
Which I couldn't see

And then the moment I met you again
I knew in my heart that we were friends
It had to be so it couldn't be no
But try as hard as I might do

I don't know why you get to me
In a way I can't describe
Words mean so little
When you look up and smile

I don't care what people say to me
You're more than a child, oh Clair
Clair

Clair, if ever a moment so rare
Was captured for all to compare
That moment is you in all that you do
But why in spite of our age difference
Do I cry each time I leave you

I feel I could die
Nothing means more to me
Than hearing you say
â€½I'm going to marry you
Will you marry me, Uncle Ray?""
Oh Clair, Clair

Clair I've told you before don't you dare
Get back into bed can't you see that is late
No you can't have a drink
Oh alright then, but wait just a bit

While I in an effort to baby sit
Capture my breath what there is left of it
You can be murder at this hour of the day
But in the morning tonight will seem a life time away
Oh Clair, Clair"
10,America,Horse With No Name,1972,"On the first part of the journey
I was looking at all the life
There were plants and birds and rocks and things
There was sand and hills and rings
The first thing I met was a fly with a buzz
And the sky with no clouds
The heat was hot and the ground was dry
But the air was full of sound
I've been through the desert on a horse with no name
It felt good to be out of the rain
In the desert you can remember your name
Cause there ain't no one 4-2 give you no pain
La, la
After two days in the desert sun
My skin began to turn red
After three days in the desert fun
I was looking at a river bed
And the story it told of a river that flowed
Made me sad to think it was dead
You see I've been through the desert on a horse with no name
It felt good to be out of the rain
In the desert you can remember your name
Cause there ain't no one for to give you no pain
La, la
After nine days I let the horse run free
Cause the desert had turned to sea
There were plants and birds and rocks and things
There was sand and hills and rings
The ocean is a desert with it's life underground
And a perfect disguise above
Under the cities lies a heart made of ground
But the humans will give no love
You see I've been through the desert on a horse with no name
It felt good to be out of the rain
In the desert you can remember your name
Cause there ain't no one for to give you no pain
La, la"
