Position,Artist,Song Title,Year,Lyrics
1,UB40,Can't Help Falling in Love,1993,"Wise men say - Only fools rush in,
But I can't help falling in love with you.

Wise men say - Only fools rush in,
But I can't help falling in love with you.

Shall I stay - Would it be a sin,
But I can't help falling in love with you.

As the river flows
gently to the sea
Darling so we go
some things were meant to be

Take my hand - Take my whole life too,
But I can't help falling in love with you.

As the river flows
gently to the sea
Darling so we go
some things were meant to be

Take my hand - Take my whole life too,
But I can't help falling in love with you.

I can't help falling in love with you.
I can't help falling in love with you.
I can't help falling in love with you."
2,Snow,Informer,1993,"What's up man! Hey yo what's up!

Yeah what's goin' on here?
Sick an' tired of five-oh runnin' up on the block here, you know what I'm sayin'?
Yo Snow, they came around lookin' for you the other day.
Word? Word! Bust it!
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane

A licky boom-boom down
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane
A licky boom-boom down

Police-a them-a they come and-a they blow down me door
One him come crawl through through my window
So they put me in the back of the car at the station
From that point on I reach my destination
Where the destination reached was the East Detention
Where they whipped down me pants and looked up me bottom
So Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane

A licky boom-boom down
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane
A licky boom-boom down, so
Bigger are them think them have more power
Them on the phone me said that on hour

Me for want to use it once to call me lover
Lover who me gonna callin' on the one Tammy
And me love her me heart down to my belly
Yes me Daddy me Snow, me are the cool and deadly
The one MC Shan and the one that is Snow
Together we are love'em as a tornado
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane

A licky boom-boom down
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane
A licky boom-boom down, so
Listen for me ya better listen for me now
Listen for me ya better listen for me now
When me rock the microphone, me rock it steady
Yes sir Daddy Snow me are the Article Don
When me in at a dance them say, ""Where you come from?""

People them say I come from Jamaica
But me born and raised in the ghetto
That's all me man want you to know
Pure black people man that's all I man know
My shoes used to tear up and my toes used to show
Where me born is the one Toronto, so
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane

A licky boom-boom down
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane
A licky boom-boom down
Come with a nice young lady
Intelligent, yes she's gentle and irie
Everywhere me go me never left here at all

Yes, Daddy Snow me at the roam the dance man
Roam it in a dance in every nation
You'd never know, say Daddy me Snow
me at the Boom Shakata
Me never lay down flat in one cardboard box
Yes, Daddy me Snow I go reachin' out the top, so
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane

A licky boom-boom down
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane
A licky boom-boom down
Why would he?
Me sitting round cool with my dibby dibby girl
Police knock my door, lick up my pal
Rough me up and I can't do a thing

Pick up my line when my telephone ring
Take me to the station, black up my hands
Trail me down 'cause I'm hanging with the Snowman
What am I gonna do, I'm backed and I'm trapped
Slap me in my face, look all of my gap
They have no clues and they wanna get warmer
But Shan won't turn informer
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane
A licky boom-boom down
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane
A licky boom-boom down"
3,Ace of Base,All That She Wants,1993,"She leads a lonely life
She leads a lonely life

When she woke up late in the morning light
And the day had just begun
She opened up her eyes and thought
""Oh, what a morning""

It's not a day for work
It's a day for catching tan
Just lying on the beach and having fun
She's going to get you

All that she wants is another baby
She's gone tomorrow, boy
All that she wants is another baby, yea

All that she wants is another baby
She's gone tomorrow, boy
All that she wants is another baby, yea

So if you are in sight and the day is right
She's the hunter you're the fox
The gentle voice that talks to you
Won't talk forever

It is a night for passion
But the morning means goodbye
Beware of what is flashing in her eyes
She's going to get you

All that she wants is another baby
She's gone tomorrow, boy
All that she wants is another baby, yea

All that she wants is another baby
She's gone tomorrow, boy
All that she wants is another baby, yea

All that she wants is another baby
She's gone tomorrow, boy
All that she wants is another baby, yea

All that she wants is another baby
She's gone tomorrow, boy
All that she wants is another baby, yea

All that she wants
All that she wants"
4,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),1993,"And I would do anything for love
I'd run right into hell and back
I would do anything for love
I'll never lie to you and that's a fact
But I'll never forget the way you feel right now
Oh no, no way.
And I would do anything for love

But I won't do that
No I won't do that
Anything for love
Oh I would do anything for love

I would do anything for love
But I won't do that
No I won't do that
And some days, it don't come easy
And some days it don't come hard
Some days it don't come at all
And these are the days that never end
And some nights you're breathing fire

And some nights you're carved in ice
Some nights you're like nothing I've ever seen before

Or will again
And maybe I'm crazy

Oh it's crazy and it's true
I know you can save me

No one else can save me now but you
As long as the planets are turning
As long as the stars are burning
As long as your dreams are coming true
You better believe it

That I would do anything for love
I'll be there till the final act
And I would do anything for love!
And I'll take the vow and seal a pact

But I'll never forgive myself if we don't go all the way

Tonight
And I would do anything for love

Oh I would do anything for love

Oh I would do anything for love
But I won't do that
No I wont do that
I would do anything for love
Anything you've been dreaming of
But I just won't do that

I would do anything for love
Anything you've been dreaming of

But I just won't do that
I would do anything for love

Anything you've been dreaming of
But I just won't do that

And somedays I pray for silence
And somedays I pray for soul
Somedays I just pray to the God of Sex and Drums and Rock 'N Roll.

And some nights I lose the feeling
And some nights I lose control
Some nights I just lose it all when I watch you dance and the thunder rolls
And maybe I'm lonely
That's all I'm qualified to be

There's just one and only
The one and only promise I can keep
As long as the wheels are turning
As long as the fires burning

As long as your prayers are coming true
You better believe it

That I would do anything for love
And you know it's true and that's a fact

And I would do anything for love
And there'll never be no turning back
But I'll never do it better then I do it with you

So long
So long
And I would do anything for love
Oh I would do anything for love
I would do anything for love
But I won't do that
No, no, no I won't do...

I would do anything for love
Anything you've been dreaming of
But I just wont do that
I would do anything for love
Anything you've been dreaming of
But I just wont do that
I would do anything for love
Anything you've been dreaming of
But I just wont do that
I would do anything for love
Anything you've been dreaming of
But I just wont do that
I would do anything for love
Anything you've been dreaming of
But I just wont do that
I would do anything for love
Anything you've been dreaming of
But I just wont do that
I would do anything for love
Anything you've been dreaming of
But I just wont do that
But I'll never stop dreaming of you every night of my life
No way
And I would do anything for love
Oh I would do anything for love
Oh I would do anything for love
But I won't do that
No I won't do that
Will you raise me up?
Will you help me down?
Will you get me right out of this Godforsaken town?
Will you make it all a little less cold?
I can do that!
Oh I can do that!
Will you hold me sacred?
Will you hold me tight?
Can you colorize my life I'm so sick of black and white?
Can you make it all a little less old?
I can do that
Oh oh now i can do that
Will you make me some magic with your own two hands?
Can you build an emerald city with these grains of sand?
Can you give me something I can take home?
Now I can do that
Oh now I can do that
Will you cater to every fantasy I got?
Will you hose me down with holy water, if I get too hot! (HOT)?
Will you take me places I've never known?
Now I can do that
Oh, oh now I can do that!
After a while to forget everything
It was a brief interlude and a midsummer night's fling
And you'll see that its time to move on
I won't do that
I won't do that
I know the territory
I've been around
It'll all turn to dust
And we'll all fall down
And sooner or later you'll be screwing around
I won't do that!
No, I won't do that!
Anything for love
Oh I would do anything for love
I would do anything for love
But I won't do that
No I won't do that"
5,Four Non Blondes,What's Up?,1993,We do not have the lyrics for What's Up (Karaoke Version) [In the Style of Four Non Blondes] yet.
6,Janet Jackson,That's the Way Love Goes,1993,"Like a moth to a flame
Burned by the fire
My love is blind
Can't you see my desire?
That's the way love goes

Like a moth to a flame
Burned by the fire
My love is blind
Can't you see my desire?

Like a moth to a flame
Burned by the fire
My love is blind
Can't you see my desire
That's the way love goes
Like a moth to a flame
Burned by the fire
That's the way love goes
My love is blind
Can't you see my desire?

Come with me
Don't you worry
I'm gonna make you crazy
I'll give you the time of your life

I'm gonna take you places
You've never been before and
You'll be so happy that you came

Oooooh, I'm gonna take you there
Oo-ooh hoo-ooh oo-ooh
That's the way love goes
Hoo
That's the way love goes
That's the way love goes
That's the way love goes

Don't mind if I light candles
I like to watch us play and
Baby, I've got on what you like

Come closer
Baby closer
Reach out and feel my body
I'm gonna give you all my love
Ooh sugar don't you hurry
You've got me here all night
Just close your eyes and hold on tight

Ooh baby
Don't stop, don't stop
Go deeper
Baby deeper
You feel so good I'm gonna cry

Oooooh I'm gonna take your there
Oo-ooh hoo-ooh oo-ooh
That's the way love goes
Hoo
That's the way love goes
That's the way love goes it goes it goes
Oooh that's the way love goes
Reach out and feel my body
That's the way love goes
Dontcha know
That's the way

Like a moth to a flame
Burned by the fire
My love is blind
Can't you see my desire
Like a moth to a flame
Burned by the fire My love is blind
Can't you see my desire?
That's the way love goes"
7,Culture Beat,Mr Vain,1993,"Call him Mr. Raider call him Mr. Wrong
Call him Mr. Vain
Call him Mr. Raider call him Mr. Wrong
Call him insane
He'd say: I know what I want
and I want it now
I want you cause I'm Mr. Vain
I know what I want and I want it now
I want you cause I'm Mr. Vain

Call me Raider call me Wrong
Call me insane call me Mr. Vain
Call me what you like
As long as you call me time and again
Feel the presence of the aura
of the man none to compare
Loveless dying
For a chance just to touch a hand
or a moment to share
Can't deny the urge that makes them
want to lose themselves to the debonair one
Hold me back the simple fact is
that i'm all that and i'm always near
one sexy can't perplex me now
You know who's raw
as if you didn't know before
I know what I want and I want it now
I want you and then I want a little more

Call him Mr. Raider call him Mr. Wrong
Call him Mr. Vain
Call him Mr. Raider call him Mr. Wrong
Call him insane
He'd say: I know what I want
and I want it now
I want you cause I'm Mr. Vain
I know what I want and I want it now
I want you cause I'm Mr. Vain

Girls are all over the world
they hope and pray and die for men
Like me cause I'm the one
begotten son that breaks the mould
Get a look at male epitome
Style has never seen
That makes you want to grab and hold
and squeeze real tight
Whose gonna be the one to save
you from yourself
When you wanna take a bite
please oh baby please
You beg you want you say
You got to get some caught
Up in the charm that I laid on thick
And now there's nowhere
to run
just another fish to fit the
worm on the hook of my line
Yeah I keep many females
longing for a chance to win my heart
with S E X and plenty"
8,Bryan Adams,Please Forgive Me,1993,"It still feels like our first night together.
Feels like the first kiss
It's getting better baby
No one can better this.
Still holding on
You're still the one.
First time our eyes met

Same feeling I get
Only feels much stronger
I wanna love you longer
Do you still turn the fire on?

So if you're feeling lonely, don't
You're the only one I'll ever want
I only want to make it go
So if I love you a little more than I should
Please forgive me, I know not what I do.
Please forgive me, I can't stop loving you.

Don't deny me, this pain I'm going through.
Please forgive me, if I need you like I do.
Please believe me, every word I say is true.
Please forgive me, I can't stop loving you.
Still feels like our best times are together
Feels like the first touch
Still getting closer baby
Can't get closer enough
Still holding on

You're still number one
I remember the smell of your skin
I remember everything
I remember all your moves

I remember you yeah
I remember the nights, you know I still do.
So if you're feeling lonely, don't
You're the only one I'll ever want
I only want to make it go
So if I love you a little more than I should

Please forgive me, I know not what I do.
Please forgive me, I can't stop loving you.
Don't deny me, this pain I'm going through.
Please forgive me, if I need you like I do.

Oh believe me, every word I say is true.
Please forgive me, I can't stop loving you.
The one thing I'm sure of
Is the way we make love
The one thing I depend on
Is for us to stay strong
With every word and every breath I'm praying
That's why I'm saying...
Please forgive me, I know not what I do.
Please forgive me, I can't stop loving you.
Don't deny me, this pain I'm going through.
Please forgive me, if I need you like I do.
Babe, believe it, every word I say is true.
Please forgive me, if I can't stop loving you.
No, believe me, I don't know what I do.
Please forgive me, I can't stop loving you.
I can't stop loving you."
9,Haddaway,What is Love?,1993,"What is love?
Baby, don't hurt me
Don't hurt me no more
Baby don't hurt me
Don't hurt me no more

What is love?
Yeah

I don't know why you're not there
I give you my love but you don't care
So what is right and what is wrong?
Gimme a sign

What is love
Baby, don't hurt me
Don't hurt me no more
What is love?
Baby, don't hurt me
Don't hurt me no more

Whoa, whoa, whoa, whoa, whoa, whoa, uh, uh
Whoa, whoa, whoa, whoa, whoa, whoa, uh, uh

Oh, I don't know, what can I do?
What else can I say, it's up to you
I know we're one, just me and you
I can't go on

What is love?
Baby, don't hurt me
Don't hurt me no more
What is love?
Baby, don't hurt me
Don't hurt me no more

Whoa, whoa, whoa, whoa, whoa, whoa, uh, uh
Whoa, whoa, whoa, whoa, whoa, whoa, uh, uh

What is love?
What is love?
What is love?
Baby, don't hurt me
Don't hurt me no more

Don't hurt me
Don't hurt me

I want no other, no other lover
This is our life, our time
We are together, I need you forever
Is it love?

What is love?
Baby, don't hurt me
Don't hurt me no more
What is love?
Baby, don't hurt me
Don't hurt me no more

Whoa, whoa, whoa, whoa, whoa, whoa, uh, uh
Whoa, whoa, whoa, whoa, whoa, whoa, uh, uh

What is love?
Baby, don't hurt me
Don't hurt me no more
What is love?
Baby, don't hurt me
Don't hurt me no more

Baby, don't hurt me
Don't hurt me no more
Baby, don't hurt me
Don't hurt me no more
What is love?"
10,Billy Joel,The River of Dreams,1993,"In the middle of the night
I go walking in my sleep
From the mountains of faith
To a river so deep
I must be looking for something
Something sacred I lost
But the river is wide
And it's too hard to cross

And even though I know the river is wide
I walk down every evening and I stand on the shore
And try to cross to the opposite side
So I can finally find out what I've been looking for

In the middle of the night
I go walking in my sleep
Through the valley of fear
To a river so deep
And I've been searching for something
Taken out of my soul
Something I would never lose
Something somebody stole

I don't know why I go walking at night
But now I'm tired and I don't want to walk anymore
I hope it doesn't take the rest of my life
Until I find what it is that I've been looking for

In the middle of the night
I go walking in my sleep
Through the jungle of doubt
To a river so deep
I know I'm searching for something
Something so undefined
That it can only be seen
By the eyes of the blind
In the middle of the night

I'm not sure about a life after this
God knows I've never been a spiritual man
Baptized by the fire, I wade into the river
That runs to the promised land

In the middle of the night
I go walking in my sleep
Though the desert of truth
To the river so deep
We all end in the ocean
We all start in the streams
We're all carried along
By the river of dreams
In the middle of the night"
