words	tf-idf
womanizer	10.2277829167
dejebe	9.58686629533
ande	9.58686629533
ding	9.00401090723
shit	8.76042042226
nana	7.90965018161
hollaback	7.90965018161
slim	7.74152775382
mah	7.74040081959
ja	7.74040081959
sebi	7.74040081959
deje	7.74040081959
unuova	7.74040081959
disturbia	7.74040081959
majabi	7.74040081959
bugui	7.74040081959
shady	7.63388301589
fuck	7.57791670485
suicidal	7.56022479207
maria	7.56022479207
nos	7.56022479207
bum	7.39811831201
woogie	7.36761328979
ms	7.16072165678
toxic	7.16072165678
vengo	7.16072165678
dumda	7.16072165678
promiscuous	7.16072165678
bouncin	6.93726166969
bleeding	6.91668374844
cha	6.91668374844
lo	6.75517236177
poker	6.69434683405
salsa	6.69434683405
trillion	6.69434683405
chola	6.17923582491
mm	6.1341225198
baila	6.1341225198
singer	6.1341225198
baa	6.1341225198
opportunity	6.1341225198
ana	6.1341225198
bisasha	6.1341225198
shadys	6.1341225198
tubba	6.1341225198
imitating	6.1341225198
sore	6.1341225198
digger	6.1341225198
oops	6.1341225198
shakira	6.1341225198
girlfriend	6.06742498713
smack	5.9201019195
dum	5.82303129613
daughter	5.81858876392
bounce	5.81424575335
phunk	5.80530061469
mamas	5.80530061469
controversy	5.80530061469
embustero	5.80530061469
bello	5.80530061469
ledo	5.80530061469
gaga	5.80530061469
floss	5.80530061469
bub	5.80530061469
woah	5.68314743036
da	5.60637789425
na	5.5947113796
boogie	5.53835814243
el	5.53835814243
love	5.51342874616
yeah	5.45958551414
santana	5.43251308489
carlos	5.43251308489
roma	5.43251308489
casa	5.43251308489
rubbed	5.43251308489
niggaz	5.43251308489
woohoo	5.43251308489
baby	5.39816270152
ahora	5.38283424138
satisfy	5.38283424138
boo	5.38283424138
crazy	5.37163535995
girl	5.23644196283
en	5.21485563144
va	5.21485563144
ca	5.17614973257
shorty	5.15482458158
breath	5.14900806504
make	5.11198778836
uh	5.03985830834
cost	5.03225248643
dude	5.03225248643
lala	5.03225248643
